제목,날짜
 강남역에 디지털금융점포 도입,2020.03.24
 신용보증기금과 ‘코로나19 피해기업’ 등 금융지원 협약 체결,2020.03.23
 2020년 신학기 청약통장 가입 경품 이벤트 실시,2020.03.23
 빅데이터 활용 금융의 초(超)개인화 나선다,2020.03.19
 고객이 쉽고 편리한 ‘우리 WON하는 직장인 대출’ 신상품 출시 이벤트 실시,2020.03.17
 코로나19 긴급자금 지원 체계 구축,2020.03.12
 제로페이Biz 태깅(Tagging) 서비스 실시,2020.03.12
 새봄맞이 ‘버팀목전세자금대출 경품 이벤트’ 실시,2020.03.10
 ‘후순위채’ 3000억원 발행 성공,2020.03.10
 유관순 열사 추념 메달 판매,2020.03.09
 코로나19 피해 지원 위해 ‘착한 임대인 운동’ 동참,2020.03.06
 시각장애인용 디지털OTP 서비스 실시,2020.02.27
 고려대-티쓰리큐와 레그테크 업무협약,2020.02.25
 코로나19 피해소상공인에 4천억 규모 금융 지원,2020.02.24
 대전지역 코로나19 피해 소기업·소상공인에 특별자금 지원,2020.02.24
 캄보디아 자회사간 합병으로 현지 공략 박차,2020.02.17
 '우리비상금대출’ 우리WON뱅킹 판매개시,2020.02.17
 ㈜케어닥과 시니어고객 대상 서비스 강화를 위한 업무 협약 체결,2020.02.12
 ‘우리 햇살론17’모바일뱅킹 출시,2020.02.10
"중국법인, 신종 코로나바이러스 피해지원 2백만 위안 기부",2020.02.10
 WON하는대로 상품 가입 이벤트 실시,2020.02.05
" ‘티빙, 롯데카드’ 공동이벤트 실시",2020.02.05
 신종 코로나바이러스 피해 중소기업 특별자금지원,2020.02.03
 ‘2020년 새해맞이 청약저축 가입 이벤트’ 실시,2020.01.28
"리은행장, 설 명절 고객센터 일일상담원 나서",2020.01.28
투로 세뱃돈 저금하고 핑크퐁 영화 보러가자,2020.01.13
 비대면채널 해외송금 이벤트 실시,2020.01.08
 ‘우리고객님 고맙습니다 정기예금’ 출시,2020.01.06
 “굳건한 고객 신뢰로 금융의 미래 이끌자”,2020.01.06
 창립 121주년 기념식 개최,2020.01.06
"리은행장, “DLF 배상 관련 최선 다 해라” 강력 주문",2019.12.23
"룹, ‘꿈나무 장학사업’ 실시",2019.12.17
본부장 인사,2019.12.16
 겨울철 환전이벤트 실시,2019.12.16
 ‘청약저축 신규 가입고객 대상 경품 이벤트’ 실시,2019.12.02
 해병대 2사단과 자매결연 34주년 기념행사 실시,2019.11.25
"룹, 베트남 11호점 비엔화지점 개점",2019.11.25
 베트남 1위 LCC 항공기금융 단독 주선,2019.11.25
 고객중심으로 성과평가제도(KPI) 전면 개편,2019.11.19
 신세계와 Drive Thru 환전 제휴를 위한 업무 협약 체결,2019.11.18
 ‘보이스피싱 피해예방 UCC 공모전’ 시상식 개최,2019.11.14
 근로복지공단과 서울시 어린이집 퇴직연금 업무협약 체결,2019.11.13
 고객 중심! 이해하기 쉬운 은행용어 사용 캠페인 실시,2019.11.12
 ‘우리 사장님e편한 통장대출’ 모바일 출시,2019.11.08
"룹, 지체장애인의 날 맞아 후원금 전달",2019.11.06
 금융권 최초 대환대출 플랫폼 서비스 시행,2019.11.06
 대학생 홍보대사 ‘스무살우리’ 2기 발대식 실시,2019.11.05
 세대공감 영상「아버지의 지갑」공개,2019.11.03
 프롭테크 활용한 부동산 자산관리서비스 확대,2019.11.01
 ‘오픈뱅킹 서비스 출시’기념 이벤트 실시,2019.10.31
노인일자리사업’홍보대사 나서,2019.10.28
부동산 플랫폼 '우리 원더랜드'로 새 출발,2019.10.24
 문화의 날 맞아 ‘청소년을 위한 힐링콘서트’ 개최,2019.10.18
"룹, 글로벌 최대 ERP 기업 SAP와 기업금융 MOU체결",2019.10.18
 ‘사잇돌 중금리대출’금리우대 이벤트 실시,2019.10.17
 고객중심 자산관리 혁신방안 발표,2019.10.16
 동대문 제일평화시장 화재피해기업 금융지원 실시,2019.10.11
 ‘베트남 어학연수생 유학경비 보증제도’ 1호 고객 행사 실시,2019.10.10
" SK텔레콤, 11번가와 ‘혁신금융서비스 개발 MOU’ 체결",2019.10.07
 퇴직연금 수익률 개선을 위한 서비스 강화,2019.10.07
 파킹클라우드·우리카드와 MOU 체결,2019.10.02
 시니어플러스 홈페이지 OPEN,2019.10.01
"룹, 잡페어 ‘우리금융 인재 페스티벌’ 개최",2019.09.30
 오픈API로 핀테크 혁신금융 지원한다,2019.09.30
 5.5억달러 외화 신종자본증권 발행,2019.09.27
 ‘우리 카카오페이 통장’출시,2019.09.27
 전자무역 무서류(Paperless) 무역송금 서비스 실시,2019.09.26
 ‘Welcome Every WON’ 이벤트 실시,2019.09.24
"리은행장, 펀드 손실 관련 고객 응대에 최선 다할 것",2019.09.24
 소재·부품·장비산업 지원 적극 나선다,2019.09.23
 ‘우리 소상공인 종합지원 부산센터’ 개소,2019.09.23
 2019년 민방위 유공‘대통령 기관표창’수상,2019.09.19
"룹, 글로벌 비대면 리테일 영업 강화",2019.09.17
 위비뱅크에 핀테크 서비스 품는다,2019.09.17
 ‘보이스피싱 피해예방 UCC 공모전’ 실시,2019.09.16
 ‘우리 외화바로예금’신규 가입 고객 이벤트 실시,2019.09.16
"룹, 추석맞아 소외이웃에게‘WOORI 희망상자’ 지원",2019.09.10
 2019 기해년 한가위 기념 ‘우리 특판 정기예금’ 출시,2019.09.10
 ‘핑크퐁 ATM’ 및 ‘저축송댄스영상’ 공개,2019.09.10
 대학생 홍보대사 ‘스무살우리’ 2기 모집,2019.09.09
"룹, 미얀마 상공회의소연합회와 업무협약 체결",2019.09.05
 ‘우리 여행적금2’ 출시,2019.09.04
"기술보증기금, 일본 수출규제 피해기업 등에 4100억 금융지원",2019.09.04
 『우리 건설산업 지원통장』신상품 출시,2019.09.04
‘우리WON뱅킹’특화상품 5종 출시,2019.09.02
 추석연휴 이동점포「위버스(WeBus)」운영,2019.08.30
 새로운 스마트뱅킹‘우리WON뱅킹’ 출시,2019.08.28
 보이스피싱 악성앱 탐지 서비스 실시,2019.08.27
"룹, 여름보다 뜨거웠던‘사랑의 헌혈 캠페인’성황리 종료",2019.08.26
 소상공인 5개협회와 ‘포용적금융 생태계조성을 위한 업무협약’ 체결,2019.08.23
